Timestamp,Loop_closures,Navigation_status
1592348987.477183,0,Active
1592348992.497525,0,Active
1592348997.488093,0,Active
1592349002.489952,0,Active
1592349007.482986,0,Active
1592349012.480164,0,Active
1592349017.486001,0,Active
1592349022.489282,0,Active
1592349027.474567,0,Active
1592349032.477528,0,Active
1592349037.495564,0,Active
1592349042.481700,0,Active
1592349047.482177,0,Active
1592349052.489114,0,Active
1592349057.489250,0,Active
1592349062.487612,0,Active
1592349067.493269,0,Active
1592349072.486091,0,Active
1592349077.483717,0,Active
1592349082.481497,0,Active
1592349087.482814,0,Active
1592349092.481316,0,Active
1592349097.479468,0,Active
1592349102.475553,0,Active
1592349107.478721,0,Active
1592349112.489205,0,Active
1592349117.494811,0,Active
1592349122.480614,0,Active
1592349127.499538,0,Active
1592349132.471699,0,Active
1592349137.477462,0,Waiting
1592349142.490075,0,Active
1592349142.527058,0,Waiting
1592349147.478766,0,Active
1592349147.513386,0,Waiting
1592349152.485775,0,Active
1592349152.519476,0,Waiting
1592349157.471666,0,Active
1592349157.518980,0,Waiting
1592349162.478907,0,Active
1592349162.515869,0,Waiting
1592349167.492866,0,Active
1592349167.536460,0,Waiting
1592349172.478837,0,Active
1592349172.560433,0,Waiting
1592349177.477765,0,Active
1592349177.512153,0,Waiting
1592349182.482743,0,Active
1592349182.520724,0,Waiting
1592349187.479744,0,Active
1592349187.518920,0,Waiting
1592349192.481757,0,Active
1592349192.526596,0,Waiting
1592349197.483461,0,Active
1592349202.488692,0,Active
1592349207.488634,0,Active
1592349212.494630,0,Active
1592349217.490674,0,Active
1592349222.482917,0,Active
1592349227.477761,0,Active
1592349232.478304,0,Active
1592349237.488804,0,Active
1592349242.497588,0,Active
1592349247.497454,0,Active
1592349252.482967,0,Active
1592349257.500027,0,Active
1592349262.477415,0,Active
1592349267.480174,0,Active
1592349272.482014,0,Active
1592349277.489825,0,Active
1592349282.490109,0,Active
1592349287.484161,0,Active
1592349292.483241,0,Active
1592349297.480873,0,Active
1592349302.476950,0,Active
1592349307.485671,0,Active
1592349312.485704,0,Active
1592349317.483025,0,Waiting
1592349322.481249,0,Waiting
1592349327.482300,0,Waiting
1592349332.479208,0,Waiting
1592349337.483941,0,Waiting
1592349342.476153,0,Waiting
1592349347.485407,0,Waiting
1592349352.501314,0,Waiting
1592349357.501856,0,Waiting
1592349362.476413,0,Waiting
1592349367.478480,0,Waiting
1592349372.481077,0,Waiting
